Poll,Date,Sample,Biden,Sanders,Gabbard,Spread
,,,,,,
,,,,,,
Morning ConsultM. Consult,3/11 - 3/11,2072 LV,59,35,3,Biden +24
,,,,,,
Economist/YouGovYouGov,3/8 - 3/10,573 RV,53,38,2,Biden +15
,,,,,,
Reuters/IpsosReuters,3/6 - 3/9,420 RV,54,33,2,Biden +21
,,,,,,
QuinnipiacQuinnipiac,3/5 - 3/8,559 RV,54,35,2,Biden +19
,,,,,,
CNNCNN,3/4 - 3/7,540 RV,52,36,,Biden +16
,,,,,,
Morning ConsultM. Consult,3/5 - 3/5,1390 LV,54,38,2,Biden +16
,,,,,,
Reuters/IpsosReuters,3/4 - 3/5,474 RV,45,32,1,Biden +13
,,,,,,
Morning ConsultM. Consult,3/2 - 3/3,961 LV,36,28,,Biden +8
,,,,,,
Economist/YouGovYouGov,3/1 - 3/3,722 RV,28,24,2,Biden +4
,,,,,,
The Hill/HarrisXThe Hill,3/1 - 3/2,449 RV,28,23,2,Biden +5
,,,,,,
Morning ConsultM. Consult,3/1 - 3/1,2656 LV,26,29,,Sanders +3
,,,,,,
Reuters/IpsosReuters,2/28 - 3/2,469 RV,18,29,1,Sanders +11
,,,,,,
Harvard-HarrisHarris,2/26 - 2/28,980 RV,20,25,1,Sanders +5
,,,,,,
Yahoo News/YouGovYouGov,2/26 - 2/27,811 RV,21,27,1,Sanders +6
,,,,,,
Morning ConsultM. Consult,2/26 - 2/27,5334 LV,21,33,2,Sanders +12
,,,,,,
IBD/TIPPIBD/TIPP,2/20 - 2/29,325 RV,20,23,,Sanders +3
,,,,,,
FOX NewsFOX News,2/23 - 2/26,507 LV,18,31,1,Sanders +13
,,,,,,
Economist/YouGovYouGov,2/23 - 2/25,584 RV,20,30,4,Sanders +10
,,,,,,
The Hill/HarrisXThe Hill,2/23 - 2/24,470 RV,17,28,2,Sanders +9
,,,,,,
Reuters/IpsosReuters,2/19 - 2/25,1808 RV,17,29,1,Sanders +12
,,,,,,
CBS News/YouGovCBS News,2/20 - 2/22,6498 LV,17,28,1,Sanders +9
,,,,,,
EmersonEmerson,2/16 - 2/18,573 LV,22,29,4,Sanders +7
,,,,,,
Economist/YouGovYouGov,2/16 - 2/18,555 LV,18,24,2,Sanders +6
,,,,,,
ABC News/Wash PostABC/WP,2/14 - 2/17,408 RV,16,32,1,Sanders +16
,,,,,,
NBC News/Wall St. JrnlNBC/WSJ,2/14 - 2/17,426 LV,15,27,1,Sanders +12
,,,,,,
Reuters/IpsosReuters,2/14 - 2/17,385 RV,15,28,0,Sanders +11
,,,,,,
SurveyUSASUSA,2/13 - 2/17,1022 LV,18,29,,Sanders +11
,,,,,,
NPR/PBS/MaristNPR/PBS,2/13 - 2/16,527 RV,15,31,0,Sanders +12
,,,,,,
The Hill/HarrisXThe Hill,2/14 - 2/15,449 RV,19,22,0,Sanders +3
,,,,,,
Politico/Morning ConsultPolitico,2/12 - 2/17,15974 RV,19,28,2,Sanders +8
,,,,,,
Economist/YouGovYouGov,2/9 - 2/11,552 LV,18,22,4,Sanders +4
,,,,,,
The Hill/HarrisXThe Hill,2/7 - 2/10,913 RV,23,20,1,Biden +3
,,,,,,
Reuters/IpsosReuters,2/7 - 2/10,436 RV,21,21,0,Tie
,,,,,,
MonmouthMonmouth,2/6 - 2/9,357 RV,16,26,1,Sanders +10
,,,,,,
QuinnipiacQuinnipiac,2/5 - 2/9,665 RV,17,25,1,Sanders +8
,,,,,,
Politico/Morning ConsultPolitico,2/4 - 2/9,15346 RV,22,25,1,Sanders +3
,,,,,,
Economist/YouGovYouGov,2/2 - 2/4,616 RV,24,19,3,Biden +5
,,,,,,
Reuters/IpsosReuters,1/31 - 2/3,430 RV,27,21,1,Biden +6
,,,,,,
Politico/Morning ConsultPolitico,1/27 - 2/2,15259 RV,28,24,2,Biden +4
,,,,,,
Harvard-HarrisHarris,1/27 - 1/29,980 RV,31,20,1,Biden +11
,,,,,,
NBC News/Wall St. JrnlNBC/WSJ,1/26 - 1/29,428 LV,26,27,2,Sanders +1
,,,,,,
Economist/YouGovYouGov,1/26 - 1/28,591 RV,26,24,3,Biden +2
,,,,,,
IBD/TIPPIBD/TIPP,1/23 - 1/30,336 RV,26,19,1,Biden +7
,,,,,,
QuinnipiacQuinnipiac,1/22 - 1/27,827 RV,26,21,1,Biden +5
,,,,,,
Politico/Morning ConsultPolitico,1/20 - 1/26,17836 RV,29,23,1,Biden +6
,,,,,,
EmersonEmerson,1/21 - 1/23,497 LV,30,27,1,Biden +3
,,,,,,
LA Times/USCLA Times,1/15 - 1/28,2227 LV,34,18,1,Biden +16
,,,,,,
ABC News/Wash PostABC/WP,1/20 - 1/23,LV,34,22,0,Biden +12
